platform,title,caption,hashtags,keywords,likes,comments,shares,date,trend_score,trend_category,trend_class,url
Instagram,รู้มั๊ยว่าขนมขายส่งเราก็มีนะ missmamon มิสมาม่อน,รู้มั๊ยว่าขนมขายส่งเราก็มีนะ #missmamon #มิสมาม่อน #โฮมเมดเบเกอรี่ #เบเกอรี่สร้างอาชีพ #รับผลิต #สั่งผลิต #ขายส่ง #เบเกอรี่ขายส่ง,"#missmamon, #มิสมาม่อน, #โฮมเมดเบเกอรี่, #เบเกอรี่สร้างอาชีพ, #รับผลิต, #สั่งผลิต, #ขายส่ง, #เบเกอรี่ขายส่ง","โฮมเมดเบเกอรี่, other, เบเกอรี่ขายส่ง, รับผลิต, เบเกอรี่สร้างอาชีพ, สั่งผลิต",0,209,582,2024-08-14T15:47:34Z,0.000308,bakery,other,https://www.instagram.com/p/5834f1d2-5572-4e76-9c28-38704a06bbf1/
Facebook,พาทำชีสเค้กญี่ปุ่นสูตรป้าเจี๊ยบ japanese cheesecak,พาทำชีสเค้กญี่ปุ่นสูตรป้าเจี๊ยบ japanese cheesecake 🇯🇵#เบเกอรี่สร้างอาชีพ #เบเกอร์รี่ #เบเกอรี่โฮมเมด #happynewyear #เทรนด์วันนี้ #คาเฟ่ขอนแก่น #japanese #cheesecake #japanesecheesecake #howto #ชีสเค้ก,"#เบเกอรี่สร้างอาชีพ, #เบเกอร์รี่, #เบเกอรี่โฮมเมด, #happynewyear, #เทรนด์วันนี้, #คาเฟ่ขอนแก่น, #japanese, #cheesecake, #japanesecheesecake, #howto, #ชีสเค้ก","เทรนด์วันนี้, cake, คาเฟ่ขอนแก่น, ชีสเค้ก, พาทำชีสเค้กญี่ปุ่นสูตรป้าเจี๊ยบ, เบเกอรี่โฮมเมด",0,103,683,2023-11-07T15:47:34Z,0.000321,bakery,cake,https://www.facebook.com/bakerythailand/posts/8a1593b7-ec77-456b-ae5d-de8294854ad7
Facebook,ตอบกลับ ランシマン オート麦 พิกัดร้านปังเว่อร์ื เค้กไก่หยอ,ตอบกลับ @ランシマン オート麦 พิกัดร้านปังเว่อร์ื เค้กไก่หยอง งานเจดีย์ปากน้ำ 12-23 ตค 68 พิกัดร้าน : ใต้สกายวอค ตรงข้ามกับ สำนักงานธนารักษ์พื้นที่ สมุทรปราการ ใกล้ๆกับกาลาแมแม่เกด เปิด 12.00-00.00 #พี่จิตร์กินกัน #งานเจดีย์สมุทรปราการ #งานเจดีย์ปากน้ํา #เค้กไก่หยองปังเว่อร์ #ปังเว่อร์,"#พี่จิตร์กินกัน, #งานเจดีย์สมุทรปราการ, #งานเจดีย์ปากน้ํา, #เค้กไก่หยองปังเว่อร์, #ปังเว่อร์","พิกัดร้านปังเว่อร์ื, ตค, ใกล้ๆกับกาลาแมแม่เกด, พี่จิตร์กินกัน, ปังเว่อร์, cake",0,10,72,2024-09-08T15:47:34Z,3.4e-05,bakery,cake,https://www.facebook.com/bakerythailand/posts/6409bb69-c1b6-4cf1-8100-5bee5317e902
TikTok,เค้กไก่หยองปังเว่อร์ออกรสใหม่ รสไข่เค็มคือดีมากอร่,เค้กไก่หยองปังเว่อร์ออกรสใหม่ รสไข่เค็มคือดีมากอร่อยเลย 💖🧁 #ปักหมุดร้านอร่อย #กินตามTiktok #ปังเว่อร์ #เค้กไก่หยอง #ที่เป็นกระแส,"#ปักหมุดร้านอร่อย, #กินตามTiktok, #ปังเว่อร์, #เค้กไก่หยอง, #ที่เป็นกระแส","กินตาม, เค้กไก่หยองปังเว่อร์ออกรสใหม่, ปังเว่อร์, cake, ที่เป็นกระแส, เค้กไก่หยอง",0,87,2124,2024-07-11T15:47:34Z,0.000933,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/e5779c33-fbf0-4504-baa0-cf9d8dacf706
TikTok,แจกสูตรเค้กหมูหยอง/ไก่หยอง สูตรเค้กชิฟฟ่อน 1.ไข่แด,แจกสูตรเค้กหมูหยอง/ไก่หยอง สูตรเค้กชิฟฟ่อน 1.ไข่แดง 4 ฟ. 2.น้ำตาลทราย 30 g. 3.นมสดจืด 80 g. 4.น้ำมันรำข้าว 60 g. 5.ผงฟู 1/2 ชช. 6.แป้งเค้ก 100 g. ส่วนของเมอแรง 1.ไข่ขาว 4 ฟ. 2.น้ำตาลทราย 90 g. 3.ครีมออฟทาทาร์ 1/4 ชช. สูตรคัสตาร์ดมายองเนส 1.มายองเนส Sweet bakery Best Foods 100 g. 2.แป้งกวนไส้ 15 g. 3.น้ำตาลทราย 40 g. 4.นมผง 20 g. 5.นมสดจืด 280 g. ส่วนผสมหมูหยอง 1.หมูหยอง/ไก่หยอง 150 g. 2.หมูฝอย 60 g. 3.สาหร่ายแผ่น 1-2 แผ่น ตัดเล็กๆ 4.งาขาวคั่ว 30-40 g. ขั้นตอนการทำ ตามในคลิปนะคะ ขอบคุณสูตรเค้กชิฟฟ่อนจากเชฟปิงด้วยค่า ส่วนตัวคัสตาร์ดมายองเนส สูตรเฉพาะร้าน Balloon bakery ค่า #นุ้ยต้าร์พาทําขนม #balloonbakery #เค้กหมูหยอง #เค้กไก่หยอง #สอนทําขนม #แจกสูตรขนม #tiktokพาทํา #bestfoods,"#นุ้ยต้าร์พาทําขนม, #balloonbakery, #เค้กหมูหยอง, #เค้กไก่หยอง, #สอนทําขนม, #แจกสูตรขนม, #tiktokพาทํา, #bestfoods","ไข่ขาว, มายองเนส, นมผง, cake, สูตรเค้กชิฟฟ่อน, ชช",0,73,426,2024-02-02T15:47:34Z,0.000203,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/7ce99d07-1149-46d2-aa6e-acdf26224e14
TikTok,ตามเสียงเรียกร้องจากลูกค้า เค้กไก่หยองพร้อมขายที่เ,ตามเสียงเรียกร้องจากลูกค้า เค้กไก่หยองพร้อมขายที่เน้นนมแล้วน๊าาา #ปังเว่อร์เน้นนม #ปังเว่อร์ #แม่แอมป์ปังเว่อร์ #ร้านนม #ของกินนนทบุรี #คาเฟ่ #Tiktokพากิน,"#ปังเว่อร์เน้นนม, #ปังเว่อร์, #แม่แอมป์ปังเว่อร์, #ร้านนม, #ของกินนนทบุรี, #คาเฟ่, #Tiktokพากิน","ปังเว่อร์, คาเฟ่, พากิน, แม่แอมป์ปังเว่อร์, cake, เค้กไก่หยองพร้อมขายที่เ",0,164,2743,2024-01-01T15:47:34Z,0.00122,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/f2ea8777-5a86-4932-ba75-befe44c21001
TikTok,เค้กไก่หยองปังเว่อร์ไม่อร่อยเหรอ รีวิวอาหาร เค้ก,เค้กไก่หยองปังเว่อร์ไม่อร่อยเหรอ #รีวิวอาหาร #เค้กไก่หยอง #ปังเว่อร์ #ดราม่าเค้กไก่หยอง #แม่แอมป์ปังเว่อร์,"#รีวิวอาหาร, #เค้กไก่หยอง, #ปังเว่อร์, #ดราม่าเค้กไก่หยอง, #แม่แอมป์ปังเว่อร์","รีวิวอาหาร, ดราม่าเค้กไก่หยอง, ปังเว่อร์, cake, แม่แอมป์ปังเว่อร์, เค้กไก่หยอง",0,362,78,2024-10-02T15:47:34Z,0.000137,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/1cb2595a-ddef-46a2-9e28-7ca528141565
Facebook,มากินเค้กไก่หยองกันนะคะ 📍มาพบกันที่งาน ครัวคุณต๋อย,มากินเค้กไก่หยองกันนะคะ 📍มาพบกันที่งาน ครัวคุณต๋อยยกทัพ เซ็นทรัลอุบล ลานกิจกรรมชั้น 1 🗓️ วันที่ 17-28 กันยายน 68 📍พบกันที่ งาน หม่ำกับหม่ำ foodfair เซ็นทรัลโคราช ลานกิจกรรมชั้น 1 🗓️ วันที่ 18-28 กันยายน 68 #เค้กไก่หยอง #เค้กสูตรดัง #pastrydaily #เทรนด์วันนี้,"#เค้กไก่หยอง, #เค้กสูตรดัง, #pastrydaily, #เทรนด์วันนี้","ลานกิจกรรมชั้น, เทรนด์วันนี้, วันที่, พบกันที่, cake, เซ็นทรัลอุบล",0,1,14,2024-04-09T15:47:34Z,6e-06,bakery,cake,https://www.facebook.com/bakerythailand/posts/c46c8214-02e0-4824-9ce2-435a208cacca
TikTok,เปรียบเทียบตะกร้าเค้กไก่หยอง 2 ร้านดัง🍰🐔 เค้กไก่ห,เปรียบเทียบตะกร้าเค้กไก่หยอง 2 ร้านดัง🍰🐔 #เค้กไก่หยอง #หนองพงนก #ชายสันติ,"#เค้กไก่หยอง, #หนองพงนก, #ชายสันติ","ร้านดัง, ชายสันติ, cake, หนองพงนก, เปรียบเทียบตะกร้าเค้กไก่หยอง, เค้กไก่ห",0,19,48,2024-11-05T15:47:34Z,2.6e-05,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/9e3040eb-7335-4e70-bccf-9ddabcc2bc28
Facebook,เค้กไก่หย่อง Pastrydaily เพื่อนชั้นขายเป็นร้าน pop,เค้กไก่หย่อง Pastrydaily เพื่อนชั้นขายเป็นร้าน pop up อยู่ที่ Central ลาดพร้าว ชั้น 3 นะ ร้านสีแดงๆ มองเห็นแต่ไกล ฝากร้านเพื่อนชั้นด้วย มันอร่อยจริงๆ นะแก ไปลองกัน #pastrydaily #กินทุกวัน #เทรนด์วันนี้,"#pastrydaily, #กินทุกวัน, #เทรนด์วันนี้","ฝากร้านเพื่อนชั้นด้วย, ร้านสีแดงๆ, นะแก, มองเห็นแต่ไกล, cake, มันอร่อยจริงๆ",0,7,28,2024-03-30T15:47:34Z,1.4e-05,bakery,cake,https://www.facebook.com/bakerythailand/posts/916d819a-ffdf-4f51-9bd3-73e3278fd4b5
TikTok,เค้กไก่หยองเจ้ากระแสมาบุกไร่ขิงงเหมือนกัน ! 👌✨ รี,เค้กไก่หยองเจ้ากระแสมาบุกไร่ขิงงเหมือนกัน ! 👌✨ #รีวิวอารายก๊อน #กินตามTikTok,"#รีวิวอารายก๊อน, #กินตามTikTok","กินตาม, cake, เค้กไก่หยองเจ้ากระแสมาบุกไร่ขิงงเหมือนกัน, รี, รีวิวอารายก๊อน",0,44,1466,2024-01-02T15:47:34Z,0.000639,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/1fff4fdc-ef51-4127-ba54-0d57fde30ea4
TikTok,เค้กไก่หยอง เค้กไก่หยองสอดไส้ครีม เค้กไก่หยองมา,#เค้กไก่หยอง #เค้กไก่หยองสอดไส้ครีม #เค้กไก่หยองมาโย,"#เค้กไก่หยอง, #เค้กไก่หยองสอดไส้ครีม, #เค้กไก่หยองมาโย","เค้กไก่หยองสอดไส้ครีม, เค้กไก่หยองมา, cake, เค้กไก่หยอง, เค้กไก่หยองมาโย",0,0,5,2025-04-30T15:47:34Z,2e-06,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/c87670f3-13f2-4af8-ba90-a314311f6e67
Instagram,เค้กไก่หยองที่รสชาติเหมือนเซี่ยงไฮ้ แต่อยู่ไทย❗️เ,เค้กไก่หยองที่รสชาติเหมือนเซี่ยงไฮ้ แต่อยู่ไทย❗️#เค้กไก่หยอง #naisnow #เซี่ยงไฮ้,"#เค้กไก่หยอง, #naisnow, #เซี่ยงไฮ้","เซี่ยงไฮ้, cake, เค้กไก่หยอง, แต่อยู่ไทย, เค้กไก่หยองที่รสชาติเหมือนเซี่ยงไฮ้",0,50,3196,2024-01-21T15:47:34Z,0.001381,bakery,cake,https://www.instagram.com/p/0b7f8b42-5521-4cdc-99b7-14e3e0fde427/
TikTok,เค้กไก่หยองร้านดังตามคอมเม้นที่บอกว่าอร่อยที่สุดต้,เค้กไก่หยองร้านดังตามคอมเม้นที่บอกว่าอร่อยที่สุดต้องลอง ชอบเค้ก naixue อร่อยไม่ผิดหวัง🤩,,"อร่อยไม่ผิดหวัง, cake, เค้กไก่หยองร้านดังตามคอมเม้นที่บอกว่าอร่อยที่สุดต้, ชอบเค้ก, เค้กไก่หยองร้านดังตามคอมเม้นที่บอกว่าอร่อยที่สุดต้องลอง",0,19,514,2024-09-28T15:47:34Z,0.000225,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/7789be55-1317-412a-89e7-471d70f681cf
TikTok,รับ ‘ฮานามิดังโงะ’ สักไม้มั้ยคะ 🤤🍡 ห้องครับtiktok,รับ ‘ฮานามิดังโงะ’ สักไม้มั้ยคะ 🤤🍡 #ห้องครับtiktok #tiktokพากิน #ทําขนม #ทําขนมง่ายๆ #เมนูง่ายๆ #แป้งตราช้างสามเศียร #erawanbrand #อร่อยคาวหวานด้วยตํานานแป้งช้างสามเศียร #เมนูinspirebyช้างสามเศียร #อร่อยโออิชิทุกเมนู #VoiceEffects,"#ห้องครับtiktok, #tiktokพากิน, #ทําขนม, #ทําขนมง่ายๆ, #เมนูง่ายๆ, #แป้งตราช้างสามเศียร, #erawanbrand, #อร่อยคาวหวานด้วยตํานานแป้งช้างสามเศียร, #เมนูinspirebyช้างสามเศียร, #อร่อยโออิชิทุกเมนู, #VoiceEffects","ทําขนม, other, แป้งตราช้างสามเศียร, พากิน, ฮานามิดังโงะ, อร่อยคาวหวานด้วยตํานานแป้งช้างสามเศียร",0,33,260,2025-06-17T15:47:34Z,0.000121,bakery,other,https://www.tiktok.com/@bakery_thailand/video/c401fa9a-273c-4e98-859f-858ca158421e
Instagram,เค้กไข่นมสด 🥥🎂 | เมนูเด็ก 1ขวบ+ 📌วัตถุดิบ-ส่วนผสม,เค้กไข่นมสด 🥥🎂 | เมนูเด็ก 1ขวบ+ 📌วัตถุดิบ-ส่วนผสม -ไข่แดง 2 ฟอง -น้ำตาลทราย 30 กรัม -แป้งแพนเค้ก 50 กรัม -นมสด 500 มล -เกล็ดมะพร้าว 👍🏻เพิ่มเติม: แม่ๆรู้ไหมว่าสามารถเอานมที่น้องทานอยู่มาทำเค้กกินได้? มาทำเค้กไข่นมสดโรยด้วยเกล็ดมะพร้าวที่เด็กๆ ชอบกัน นอกจากนี้เค้กยังมีความนิ่มเหมือนพุดดิ้งเด้งๆดึ๋งเลย #สตอรี่ของคนมีลูก #เมนูลูกรัก #เมนูลูกน้อย👶🏻 #อาหารเด็ก #เมนูเด็ก1ขวบขึ้นไป #เค้กเด็ก #เค้กนมสด #เค้กไข่นมสด #เค้กวันเกิดเด็ก #เมนูขนมเด็ก,"#สตอรี่ของคนมีลูก, #เมนูลูกรัก, #เมนูลูกน้อย, #อาหารเด็ก, #เมนูเด็ก1ขวบขึ้นไป, #เค้กเด็ก, #เค้กนมสด, #เค้กไข่นมสด, #เค้กวันเกิดเด็ก, #เมนูขนมเด็ก","เค้กวันเกิดเด็ก, ขวบ, cake, นอกจากนี้เค้กยังมีความนิ่มเหมือนพุดดิ้งเด้งๆดึ๋งเลย, แป้งแพนเค้ก, เมนูลูกรัก",0,33,338,2025-07-07T15:47:34Z,0.000154,bakery,cake,https://www.instagram.com/p/5394081f-41bb-4027-9bf1-48ff84888745/
Instagram,มาร์ชเมลโล่เคลือบช็อกโกแลตโค้ตติ้ง อร่อยกินเพลิน ท,มาร์ชเมลโล่เคลือบช็อกโกแลตโค้ตติ้ง อร่อยกินเพลิน ทำกินก็ได้ทำขายก็ดี #เมนูง่ายๆ #ขนม #มาร์ชเมลโลว์ #อร่อย #รายได้เสริม #สร้างรายได้ #yummy #delicious,"#เมนูง่ายๆ, #ขนม, #มาร์ชเมลโลว์, #อร่อย, #รายได้เสริม, #สร้างรายได้, #yummy, #delicious","other, อร่อย, มาร์ชเมลโลว์, ขนม, มาร์ชเมลโล่เคลือบช็อกโกแลตโค้ตติ้ง, เมนูง่ายๆ",0,313,4539,2025-02-23T15:47:34Z,0.00203,bakery,other,https://www.instagram.com/p/62fb22be-45b8-43bb-bf7d-4686f1e211ac/
TikTok,เค้กช็อกโกแลต (Flourless Chocolate Cake) เมนูง่าย,เค้กช็อกโกแลต (Flourless Chocolate Cake) #เมนูง่ายๆ #ขนมคลีน #ขนมไม่ใช้เตาอบ #อร่อยบอกต่อ #ห้องครัวtiktok #ครัวtiktok #ourrecipe,"#เมนูง่ายๆ, #ขนมคลีน, #ขนมไม่ใช้เตาอบ, #อร่อยบอกต่อ, #ห้องครัวtiktok, #ครัวtiktok, #ourrecipe","cake, เมนูง่ายๆ, ครัว, อร่อยบอกต่อ, ห้องครัว, เมนูง่าย",0,56,693,2025-10-08T15:47:34Z,0.000312,bakery,cake,https://www.tiktok.com/@bakery_thailand/video/cc8a164d-6c38-43c4-b314-e64acc602eef
TikTok,ง่ายมากทำขนมปังโทสท์ชุบนมโรงเรียน น้ำมันพืช TikT,ง่ายมากทำขนมปังโทสท์ชุบนมโรงเรียน #น้ำมันพืช #TikTokป้ายยา #tiktokshopครีเอเตอร์ #แม่และเด็ก,"#น้ำมันพืช, #TikTokป้ายยา, #tiktokshopครีเอเตอร์, #แม่และเด็ก","น้ำมันพืช, แม่และเด็ก, ครีเอเตอร์, ง่ายมากทำขนมปังโทสท์ชุบนมโรงเรียน, ป้ายยา, bread",0,3,8,2023-11-18T15:47:34Z,4e-06,bakery,bread,https://www.tiktok.com/@bakery_thailand/video/3092f346-6c88-4961-bd3e-3e14d8b073ef
